NAME,min,max
"""Мосрентген""",-2.1,0.8
Академический,6.7,11.5
Алексеевский,6.4,11.2
Алтуфьевский,1.3,4.9
Арбат,11.1,14.5
Аэропорт,6.8,12.6
Бабушкинский,0.5,5.6
Басманный,7.3,14.1
Беговой,9.8,13.6
Бескудниковский,2.0,6.9
Бибирево,-0.9,3.1
Бирюлёво Восточное,-0.8,5.0
Бирюлёво Западное,-0.8,3.6
Богородское,4.0,8.1
Братеево,0.7,4.5
Бутырский,7.3,12.9
Вешняки,-0.8,3.2
Внуково,-16.3,-8.6
Внуковское,-12.8,-5.3
Войковский,4.0,8.9
Вороновское,-40.7,-34.3
Воскресенское,-11.1,-6.2
Восточное Дегунино,1.0,6.7
Восточное Измайлово,-0.7,3.6
Восточный,-14.8,-0.4
Выхино-Жулебино,-0.8,3.5
Гагаринский,6.1,11.7
Головинский,2.1,6.7
Гольяново,-0.8,6.6
Даниловский,9.2,14.2
Десёновское,-17.1,-10.2
Дмитровский,-0.4,3.9
Донской,9.7,13.5
Дорогомилово,6.5,12.9
Замоскворечье,11.4,14.6
Западное Дегунино,-1.0,5.5
Зюзино,5.3,10.3
Зябликово,-0.1,3.8
Ивановское,-0.8,2.9
Измайлово,1.2,7.1
Капотня,-1.0,3.7
Киевский,-46.4,-43.0
Клёновское,-32.7,-30.7
Кокошкино,-19.4,-15.9
Коньково,1.3,6.4
Коптево,4.8,9.4
Косино-Ухтомский,-5.4,-0.1
Котловка,7.4,11.9
Краснопахорское,-25.1,-19.4
Красносельский,9.1,14.1
Крылатское,-0.6,6.4
Крюково,-22.1,-16.3
Кузьминки,1.4,6.3
Кунцево,-0.4,5.0
Куркино,-5.4,-0.5
Левобережный,-0.1,4.7
Лефортово,6.6,11.7
Лианозово,-0.8,3.3
Ломоносовский,4.4,8.1
Лосиноостровский,-0.7,4.2
Люблино,0.5,7.0
Марушкинское,-22.8,-15.1
Марфино,5.6,9.8
Марьина Роща,9.0,13.6
Марьино,2.1,7.0
Матушкино,-21.2,-17.3
Метрогородок,1.8,5.8
Мещанский,10.2,14.9
Митино,-4.1,0.8
Михайлово-Ярцевское,-33.2,-27.7
Можайский,-0.9,5.0
Молжаниновский,-10.4,-8.4
Москворечье-Сабурово,2.9,9.0
Московский,-10.1,0.4
Нагатино-Садовники,8.2,12.6
Нагатинский Затон,6.6,11.1
Нагорный,6.1,12.4
Некрасовка,-7.9,-3.9
Нижегородский,4.1,9.9
Новогиреево,-0.1,5.0
Новокосино,-3.3,0.8
Ново-Переделкино,-7.4,-2.7
Новофёдоровское,-41.9,-35.0
Обручевский,1.1,7.7
Орехово-Борисово Северное,1.0,5.0
Орехово-Борисово Южное,-0.9,3.4
Останкинский,7.1,11.5
Отрадное,1.5,7.3
Очаково-Матвеевское,-1.0,6.4
Первомайское,-26.7,-15.8
Перово,1.2,6.7
Печатники,5.0,9.1
Покровское-Стрешнево,0.4,5.8
Преображенское,4.4,9.4
Пресненский,8.3,15.0
Проспект Вернадского,2.6,6.2
Раменки,2.5,10.3
Роговское,-54.3,-49.8
Ростокино,5.1,8.3
Рязановское,-16.2,-9.1
Рязанский,1.5,6.9
Савёлки,-20.1,-15.6
Савёловский,9.5,13.2
Свиблово,2.9,6.5
Северное Бутово,-2.9,0.8
Северное Измайлово,-0.4,6.1
Северное Медведково,-0.8,3.1
Северное Тушино,-0.5,4.0
Северный,-6.1,0.6
Силино,-21.4,-18.1
Сокол,5.2,9.3
Соколиная Гора,5.2,9.4
Сокольники,7.0,11.4
Солнцево,-5.3,0.9
Сосенское,-7.7,-1.3
Старое Крюково,-20.2,-17.1
Строгино,-0.9,3.3
Таганский,8.0,13.5
Тверской,11.2,15.6
Текстильщики,3.7,7.9
Тёплый Стан,-0.9,3.7
Тимирязевский,5.6,11.5
Троицк,-21.3,-15.2
Тропарёво-Никулино,-0.2,4.8
Филёвский Парк,5.7,10.0
Фили-Давыдково,2.5,7.6
Филимонковское,-14.3,-8.4
Хамовники,8.8,14.3
Ховрино,-0.1,4.8
Хорошёво-Мнёвники,3.2,10.3
Хорошёвский,7.0,11.8
Царицыно,3.7,8.0
Черёмушки,4.7,9.3
Чертаново Северное,3.9,8.1
Чертаново Центральное,1.7,6.0
Чертаново Южное,-0.7,4.7
Щаповское,-27.0,-19.6
Щербинка,-10.9,-5.8
Щукино,2.7,8.2
Южное Бутово,-9.5,-1.6
Южное Медведково,1.2,4.4
Южное Тушино,-0.6,5.3
Южнопортовый,7.9,12.0
Якиманка,11.1,14.9
Ярославский,-0.8,5.7
Ясенево,-0.8,4.2
